Title;URL;Engine;Info;Dimensions;Year Built;Location;Price;Model;Length;Beam;Age
Custom built Schooner;https://www.yachtall.com/en/boat/custom-built-schooner-s131059; Caterpillar C18 Acert, 873 hp (642 kW), diesel; Bavaria, used boat; 52.43 m x 8.53 m;2014;Spain, Valencia;24500000;Bavaria;52.43;8.53;9
Ridas Yacht Ketch Melody;https://www.yachtall.com/en/boat/ridas-yacht-ketch-melody-s215507; Volvo Penta, 500 hp (368 kW); Hurley, used boat, GRP/polyester; 35.32 m x 7.40 m;2022;Croatia, Tallin;19000000;Hurley;35.32;7.4;1
Custom Line Build Sailing Yacht;https://www.yachtall.com/en/boat/custom-line-build-sailing-yacht-s199438; Caterpillar, 2 x 1,604 hp (1,180 kW), diesel; Frans Maas, old-timer, GRP/polyester; 50 m x 10.50 m;2019;Germany, Türkei;15950000;Frans Maas;50;10.5;4
Van der Graaf Classic Schooner;https://www.yachtall.com/en/boat/van-der-graaf-classic-schooner-s126196; Yanmar, 755 hp (555 kW), diesel; Bavaria, used boat, GRP/polyester; 65.84 m x 8.85 m;2010;France, Contact De Valk Antibes;12000000;Bavaria;65.84;8.85;13
Three-mast Schooner Van der Graaf Atlantic;https://www.yachtall.com/en/boat/three-mast-schooner-van-der-graaf-atlantic-s156763; Yanmar, 750 hp (552 kW); Goetz Custom Sailboats, used boat, Kevlar/Carbon; 56.39 m x 8.85 m;2010;France, Méditerranée;12000000;Goetz Custom Sailboats;56.39;8.85;13
Nautor's Swan 115;https://www.yachtall.com/en/boat/nautors-swan-115-s157299; Sweden Marine VGT 400, 450 hp (331 kW), diesel; Elan, used boat, GRP/polyester; 35.11 m x 8.12 m;2016;Spain, Badalona;7950000;Elan;35.11;8.12;7
Baltic 112;https://www.boat24.com/en/sailingboats/baltic/baltic-112/detail/551032/;1 x 399 HP / 293 kW;;35.77 x 7.98 m;2011;Spain » Mallorca » Palma de Mallorca;7500000;Baltic;35.77;7.98;12
Nautor's Swan 100;https://www.yachtall.com/en/boat/nautors-swan-100-s207676; Perkins Sabre, 261 hp (192 kW), diesel; Moody, used boat, GRP/polyester; 30.21 m x 7.06 m;2005;Spain, Palma Di Maiorca, Isola d’Elba;7500000;Moody;30.21;7.06;18
Fitzroy Yachts;https://www.yachtall.com/en/boat/fitzroy-yachts-s201672; Caterpillar 3406E, 700 hp (515 kW), diesel; Great Dane, used boat, GRP/polyester; 37.49 m x 8.23 m;2005;USA, Rhode Island, Newport;7000000;Great Dane;37.49;8.23;18
Miti Navi 34;https://www.yachtall.com/en/boat/miti-navi-34-s202012; Baudouin 6W126M - P2 Duty, 2 x 450 hp (331 kW), diesel; Black Sea Yachtyard, used boat, steel boat; 34.06 m x 8.23 m;2021;Turkey, Bodrum;6637814;Black Sea Yachtyard;34.06;8.23;2
Oyster 101;https://www.yachtall.com/en/boat/oyster-101-s199090; Cummins QSM 11; Jongert, used boat, steel boat; 30.80 m x 7.57 m;2012;France, Saint-Tropez;6300000;Jongert;30.8;7.57;11
Oyster 885;https://www.boat24.com/en/sailingboats/oyster/oyster-885/detail/521153/;1 x 330 HP / 243 kW;;27.08 x 6.33 m;2015;Slovenia » Contact De Valk Istria;5450000;Oyster;27.08;6.33;8
Oyster 885;https://www.yachtall.com/en/boat/oyster-885-s194309; Cummins, 330 hp (243 kW), diesel; Oyster Marine, used boat, GRP/polyester; 27.08 m x 6.33 m;2015;Slovenia, Contact De Valk Istria;5450000;Oyster Marine;27.08;6.33;8
Oyster 885;https://www.yachtall.com/en/boat/oyster-885-s209194; Cummins QSL 9-M, 330 hp (243 kW), diesel; Oyster Marine, used boat, GRP/polyester; 26.06 m x 6.33 m;2015;Croatia;5450000;Oyster Marine;26.06;6.33;8
Perini NAVI Piropo IV;https://www.yachtall.com/en/boat/perini-navi-piropo-iv-s158732; Yanmar 3YM30, 27 hp (20 kW), diesel; Bénéteau, used boat; 46.50 m x 9.20 m;1991;Italy, L;5350000;Bénéteau;46.5;9.2;32
Oyster 82;https://www.yachtall.com/en/boat/oyster-82-s213624; Cummins; Jeanneau, used boat; 25.15 m x 6.31 m;2019;France, Saint-Tropez;5300000;Jeanneau;25.15;6.31;4
Conrad 91;https://www.boat24.com/en/sailingboats/conrad/conrad-91/detail/504685/;1 x 355 HP / 261 kW;;27.93 x 7.48 m;2016;Croatia » Contact De Valk Dalmatia;4900000;Conrad;27.93;7.48;7
Conrad 91;https://www.yachtall.com/en/boat/conrad-91-s181000; Cummins, 355 hp (261 kW), diesel; Conrad Shipyard, used boat, aluminium boat; 27.93 m x 7.48 m;2016;Croatia, Contact De Valk Dalmatia;4900000;Conrad Shipyard;27.93;7.48;7
Vismara Momi M80;https://www.boat24.com/en/sailingboats/vismara/vismara-momi-m80/detail/520680/;;;26.20 x 5.80 m;2021;Italy » Viareggio;4500000;Vismara;26.2;5.8;2
SU Marine Ketch 36;https://www.yachtall.com/en/boat/su-marine-ketch-36-s182038; Scania, 600 hp (441 kW), diesel; Bénéteau, used boat; 35.60 m x 7.30 m;2014;France, Marseille;4500000;Bénéteau;35.6;7.3;9
Nautor's Swan 90;https://www.yachtall.com/en/boat/nautors-swan-90-s202901; diesel; Nautor's Swan, used boat; 27.71 m x 6.46 m;2010;Italy;4400000;Nautor's Swan;27.71;6.46;13
